State,District,Latitude,Longitude,District code,Population,sex_ratio,litercy_rate
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,96.0,62.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,84.0,60.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,95.0,62.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,91.0,54.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,90.0,62.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,96.0,52.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,97.0,57.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,93.0,61.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,89.0,65.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,93.0,62.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,92.0,60.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,98.0,63.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,97.0,57.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,94.0,59.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,90.0,48.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,88.0,52.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,96.0,53.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,90.0,52.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,96.0,62.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,95.0,55.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,90.0,59.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,95.0,78.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,95.0,78.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,98.0,75.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,92.0,66.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,93.0,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,96.0,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,95.0,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,100.0,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,94.0,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,92.0,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,94.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,96.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,93.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,95.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,94.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,98.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,93.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,92.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,95.0,63.0
